Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
6682;Creston, D.;	;In Search of Two Characters (Some Intimate Aspects of..);	;;	;;	;MacMillan;	0	1947	;studie;	;b668e;	;Napoleon I Bonaparte van Frankrijk;	;Napoleon II, hertog van Reichstadt, Josephine Tascher de la Pagerie, Marie Louise van Oostenrijk, Hortense de Beauharnais;	;x;;NULL
4287;Cronin, V.;	;Catherine, Empress of All The Russias;	;;	;;	;Harvill Press;	1978	1996	;biografie;	;z428e;	;Catherine II de grote van Rusland;	;Peter III van Rusland, Paul I van Rusland, Elisabeth I van Rusland, Johanna Elisabeth van Holstein-Gottorp, Stanislaus II Augustus Poniatowski van Polen, Gregory Potemkin, Gregory Orlov;	;xï;;NULL
6702;Brown, M.;	;The Black Douglases (War Lordship .. 1300-1455);	;;	;;	;Tuckwell Press;	1998	1999	;studie;	;b670e;	;The Good Sir James Douglas, Archibald the Grim Douglas, e.a.;	;James the Gross Douglas, James Douglas of Dalkeith, Margaret Douglas, The Fair Maid of Galloway, Egidia Douglas, Archibald Douglas, George Douglas of Angus, Jacobus I van Schotland, Hugh the Dull Douglas, Robert I Bruce van Schotland, William Douglas;	;xï;;NULL
6692;Keay, J.;	;India, a History;	;;	;;	;Harper Collins;	2000	0	;studie;	;b669e;	;Indira Gandhi, Akbar de grote van India, e.a.;	;Firuz Shah Tughluq van Delhi,, Chandra Gupta II van India, Robert Clive, Haidar Ali Khan van Mysore, Krishna Deva Raya I van Vijayanagar, Malik Sowar van Jaunpur, Man Singh van Amber, Ibrahim Lodi van Delhi, Jahangir van India;	;xi;;NULL
4317;Preckel, C.;	;Begums of Bhopal;	;;	;;	;Roli Books;	0	2000	;biografieën;	;z431e;	;Shah Jahan Begum van Bhopal, e.a.;	;Sikander Begum van Bhopal, Qudsiya Begum van Bhopal, Sultan Jahan Beum van Bhopal, Nawab Jahangir Muhammad Khan van Bhopal, Nawab Nazar Muhammad Khan van Bhopal, Nawab Dost Muhammad Khan van Bhopal;	;;;NULL
4307;Whitehorne, J.;	;Cleopatras;	;;	;;	;Routledge;	1994	2001	;biografieën;	;z430e;	;Cleopatra VII van Egypte, Cleopatra III van Egypte, e.a.;	;Cleopatra Thea van Egypte, Cleopatra van Macedonië, Cleopatra Selene van Egypte, Cleopatra II van Egypte, Cleopatra I van Egypte, Berenice III van Egypte, Ptolemeus VIII van Egypte, Ptolemeus VI van Egypte;	;xïp;;NULL
6712;Stater, V.;	;Duke Hamilton is dead! (A story of aristocratic life..);	;;	;;	;Hill and Wang;	0	1999	;studie;	;b671e;	;James Douglas-Hamilton, Duke of Hamilton;	;Charles Mohun, Anne Spencer, Elizabeth Gérard, Anne Douglas-Hamilton, Duchess of Hamilton, Robert Harley, Earl of Oxford, John Churchill, Duke of Marlborough, James 'III' Edward Stuart;	;x;;NULL
6722;Ahnlund, N.;	;Gustavus Adolphus the Great;	;Gustav Adolph the Great;	;Warrior Kings;	;History Book Club;	1940	1999	;biografie;	;b672e;	;Gustaaf II Adolf van Zweden;	;Maria Eleonora van Brandenburg, Christina van Zweden, Karel IX van Zweden, Christina van Holstein, Sigismund III van Polen, Johan van Zweden, Axel Oxenstierna, Margaretha Slots, Magnus Brahe, Christiaan IV van Denemarken;	;x;;NULL
4297;Regan, G.;	;Let them eat cake! Amusing slices from history.;	;;	;;	;Robson Books;	1994	2001	;anecdotes;	;z429e;	;Winston Churchill, Woodrow Wilson, Henry Fox, e.a.;	;Karel II van Groot-Brittannië, Victoria van Groot-Brittannië, George III Groot-Brittannië, Elisabeth I Tudor van Engeland, George IV Groot-Brittannië, Napoleon Bonaparte, Jacobus I Engeland en Schotland, Sissi van Beieren, Ludwig II van Beieren;	;î;;NULL
3264;Walder, J.;	;All Colour Book of Henry VIII;	;Henry VIII;	;All Colour Book of;	;Octopus Books;	1973	0	;biografie;	;l326e;	;Hendrik VIII Tudor van Engeland;	;Catharina van Aragon, Anna van Kleef, Catherine Howard, Anne Boleyn, Jane Seymour, Catherine Parr, Maria I de bloedige van Engeland, Hendrik VII van Engeland, Christina van Denemarken, Thomas Howard van Norfolk, Margaret Pole van Salisbury;	;i;;NULL
3254;Bunson, M.;	;Encyclopedia of the Middle Ages;	;;	;Facts On File Encyclopedia;	;Facts On File;	1995	1995	;encyclopedie;	;l325e;	;Bernard of Clairvaux, Edward I van Engeland, e.a.;	;Karel VII van Frankrijk, Frederik II van Duitsland, Blanche van Kastilië, Edward III van Engeland, Boudewijn I van Jeruzalem, Dimitri Donskoy van Moskow, Basileus II van Byzantium, Boris II van Bulgarije, Erik van Pommeren, Henry Beaufort, Saladin;	;î;;NULL
4327;Strindberg, A.;	;The Vasa Trilogie (Master Olof, Gustav Vasa, Erik XIV);	;;	;;	;Univ. of Washington Pr;	0	1959	;toneelstukken;	;z432e;	;;	;Gustav I Wasa van Zweden, Erik XIV van Zweden;	;;;NULL
4337;Strindberg, A.;	;Queen Christina, Charles XII, Gustav III;	;;	;;	;Univ. of Washington Pr;	0	1955	;toneelstukken;	;z433e;	;;	;Christina van Zweden, Gustav III van Zweden, Karl XII van Zweden;	;;;NULL
